Cpu,mae,mse,rmse,File,population,generation,crossover,pc
2.177443,0.5268215622814509,0.48717475311898245,0.6979790491977409,Hill_Valley_with_noise.csv,289,14,0.64,0.8
6.441756,0.5176470588235295,0.5176470588235295,0.7194769341845014,Hill_Valley_with_noise.csv,403,33,0.32,1.0
6.999361,0.5176470588235295,0.5176470588235295,0.7194769341845014,Hill_Valley_with_noise.csv,371,38,0.57,0.27
7.300677,0.5176470588235295,0.5176470588235295,0.7194769341845014,Hill_Valley_with_noise.csv,485,30,0.7,0.03
1.4646759999999999,0.5289373599633538,0.4854718716167968,0.6967581155729704,Hill_Valley_with_noise.csv,60,41,0.96,0.25
6.654763000000001,0.852984971442491,0.977271942821626,0.9885706564639808,Hill_Valley_with_noise.csv,297,46,0.49,0.42
0.9262980000000001,0.528886859291595,0.48664629226756206,0.6976003814990084,Hill_Valley_with_noise.csv,138,13,0.17,0.31
5.167046,0.5292286337926589,0.4828227439674942,0.6948544768276982,Hill_Valley_with_noise.csv,283,35,0.69,0.72
0.9358650000000002,0.5286139612977316,0.48848582407787144,0.6989176089338939,Hill_Valley_with_noise.csv,55,32,0.63,0.09
5.79644,0.5273967190035578,0.4871811162487932,0.6979836074355853,Hill_Valley_with_noise.csv,278,39,0.69,0.05
5.256948,0.4823529411764706,0.4823529411764706,0.6945163361480208,Hill_Valley_with_noise.csv,239,45,0.15,0.24
4.580178,0.5273967190035578,0.4871811162487932,0.6979836074355853,Hill_Valley_with_noise.csv,185,44,0.72,0.05
6.830908000000001,0.5176470588235295,0.5176470588235295,0.7194769341845014,Hill_Valley_with_noise.csv,403,33,0.72,0.36
5.666666,0.5176470588235295,0.5176470588235295,0.7194769341845014,Hill_Valley_with_noise.csv,457,23,0.93,0.05
1.435977,0.5273967190035578,0.4871811162487932,0.6979836074355853,Hill_Valley_with_noise.csv,109,29,0.28,0.42
6.222192,0.5273967190035578,0.4871811162487932,0.6979836074355853,Hill_Valley_with_noise.csv,246,48,0.83,0.59
2.5692290000000004,0.4823529411764706,0.4823529411764706,0.6945163361480208,Hill_Valley_with_noise.csv,129,47,0.07,0.58
1.8213449999999998,0.5249066444071959,0.4815622741097746,0.693946881331543,Hill_Valley_with_noise.csv,253,15,0.73,0.66
3.157953,0.5176470588235295,0.5176470588235295,0.7194769341845014,Hill_Valley_with_noise.csv,431,16,0.7,0.54
2.8030420000000005,0.5176470588235295,0.5176470588235295,0.7194769341845014,Hill_Valley_with_noise.csv,389,16,0.41,0.6
1.224843,0.4823529411764706,0.4823529411764706,0.6945163361480208,Hill_Valley_with_noise.csv,156,17,0.03,0.71
4.242334,0.4823529411764706,0.4823529411764706,0.6945163361480208,Hill_Valley_with_noise.csv,318,35,0.1,0.99
2.1773170000000004,0.5362724845991633,0.40362906397262055,0.6353180809426255,Hill_Valley_with_noise.csv,289,14,0.64,0.8
6.4436979999999995,0.5362724845991633,0.40362906397262055,0.6353180809426255,Hill_Valley_with_noise.csv,403,33,0.32,1.0
7.2302159999999995,0.5362724845991633,0.40362906397262055,0.6353180809426255,Hill_Valley_with_noise.csv,371,38,0.57,0.27
7.496217,0.5362724845991633,0.40362906397262055,0.6353180809426255,Hill_Valley_with_noise.csv,485,30,0.7,0.03
1.385303,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,60,41,0.96,0.25
7.0494699999999995,0.5362724845991633,0.40362906397262055,0.6353180809426255,Hill_Valley_with_noise.csv,297,46,0.49,0.42
