Cpu,mae,mse,rmse,File,population,generation,crossover,pc
1.624534,2.4984460023881145,6.779226289989401,2.6036947382497435,keijzer-8.training.csv,125,26,0.6,0.46
2.211039,3.3857027215336286,11.999976781740479,3.4640982638690376,keijzer-8.training.csv,111,39,0.66,0.85
2.416983,3.594681966699804,13.458732304857028,3.668614493900528,keijzer-8.training.csv,121,38,0.54,0.31
0.8067430000000001,3.36153025183286,11.836879497127747,3.4404766380732412,keijzer-8.training.csv,137,10,0.71,0.31
4.8981580000000005,3.594681966699804,13.458732304857028,3.668614493900528,keijzer-8.training.csv,294,35,0.09,0.76
2.454364,3.594681966699804,13.458732304857028,3.668614493900528,keijzer-8.training.csv,330,13,0.99,0.24
3.89123,8.277324828772139,68.7342945624323,8.290614848274663,keijzer-8.training.csv,206,36,0.89,0.99
3.8010669999999998,3.529938595893504,12.997460353918862,3.6051990727169083,keijzer-8.training.csv,223,31,0.29,0.06
5.688034,3.594681966699804,13.458732304857028,3.668614493900528,keijzer-8.training.csv,477,22,0.18,0.84
2.4517610000000003,3.594681966699804,13.458732304857028,3.668614493900528,keijzer-8.training.csv,282,16,0.08,0.51
8.081234,2.9489497700915135,9.233298609663047,3.0386343329961654,keijzer-8.training.csv,424,39,0.05,0.6
3.1321049999999997,3.594681966699804,13.458732304857028,3.668614493900528,keijzer-8.training.csv,464,12,0.77,0.59
3.337364,3.3857027215336286,11.999976781740479,3.4640982638690376,keijzer-8.training.csv,195,33,0.57,0.62
8.357251999999999,3.594681966699804,13.458732304857028,3.668614493900528,keijzer-8.training.csv,463,36,0.44,0.85
5.54474,3.594681966699804,13.458732304857028,3.668614493900528,keijzer-8.training.csv,253,41,0.48,0.9
8.634407000000001,3.594681966699804,13.458732304857028,3.668614493900528,keijzer-8.training.csv,448,39,0.32,0.11
6.20975,3.3857027215336286,11.999976781740479,3.4640982638690376,keijzer-8.training.csv,319,45,0.37,0.94
10.653707,3.4385458346407995,12.360591320065856,3.5157632628016717,keijzer-8.training.csv,463,47,0.66,0.31
5.367419,3.594681966699804,13.458732304857028,3.668614493900528,keijzer-8.training.csv,386,34,0.62,0.4
6.229609999999999,3.594681966699804,13.458732304857028,3.668614493900528,keijzer-8.training.csv,334,45,0.88,0.27
1.7055650000000002,0.14514873521317753,0.04461409967020758,0.2112205001182593,vladislavleva-4.training.csv,125,26,0.6,0.46
2.185552,0.14514873521317753,0.04461409967020758,0.2112205001182593,vladislavleva-4.training.csv,111,39,0.66,0.85
2.426152,0.14514873521317753,0.04461409967020758,0.2112205001182593,vladislavleva-4.training.csv,121,38,0.54,0.31
0.6809260000000001,0.14514873521317753,0.04461409967020758,0.2112205001182593,vladislavleva-4.training.csv,137,10,0.71,0.31
4.7297020000000005,0.25238630759911673,0.08079357985768225,0.2842421148557727,vladislavleva-4.training.csv,294,35,0.09,0.76
2.259758,0.1463060361682421,0.04162923479860097,0.20403243565325827,vladislavleva-4.training.csv,330,13,0.99,0.24
4.052682,0.14514873521317753,0.04461409967020758,0.2112205001182593,vladislavleva-4.training.csv,206,36,0.89,0.99
3.527794,0.25238630759911673,0.08079357985768225,0.2842421148557727,vladislavleva-4.training.csv,223,31,0.29,0.06
5.205021,0.1665508332589276,0.04358643470428368,0.20877364465919465,vladislavleva-4.training.csv,477,22,0.18,0.84
2.0725849999999997,0.25238630759911673,0.08079357985768225,0.2842421148557727,vladislavleva-4.training.csv,282,16,0.08,0.51
7.723436,0.1665508332589276,0.04358643470428368,0.20877364465919465,vladislavleva-4.training.csv,424,39,0.05,0.6
3.2633460000000003,0.14514873521317753,0.04461409967020758,0.2112205001182593,vladislavleva-4.training.csv,195,33,0.57,0.62
