Cpu,mae,mse,rmse,File,c,epison,cs,iterations
0.02036500000000008,0.8316834991514166,0.970954856194021,0.98537041572904,strogatz_glider1.csv,9661.79,51.04,0.7,21
0.02029800000000004,0.8316834991514168,0.970954856194022,0.9853704157290404,strogatz_glider1.csv,5310.51,11.08,0.63,798
0.02077699999999993,0.8316834991514166,0.970954856194021,0.98537041572904,strogatz_glider1.csv,7129.93,70.31,0.56,259
0.021120999999999945,0.8316834991514166,0.970954856194021,0.98537041572904,strogatz_glider1.csv,7835.71,58.48,0.32,997
0.017643000000000075,0.8316834991514166,0.970954856194021,0.98537041572904,strogatz_glider1.csv,5181.09,63.15,0.69,713
0.018172999999999998,0.8316834991514166,0.970954856194021,0.98537041572904,strogatz_glider1.csv,232.15,75.81,0.96,240
0.02060099999999998,0.8316834991514166,0.970954856194021,0.98537041572904,strogatz_glider1.csv,5069.42,72.71,0.68,38
0.02528600000000003,0.8316834991514166,0.970954856194021,0.98537041572904,strogatz_glider1.csv,5487.92,88.91,0.48,417
0.018555999999999902,0.8316834991514166,0.970954856194021,0.98537041572904,strogatz_glider1.csv,9038.01,32.16,0.93,39
0.020146,0.8316834991514166,0.970954856194021,0.98537041572904,strogatz_glider1.csv,4200.98,85.5,0.14,230
0.01909800000000006,0.8316834991514167,0.9709548561940214,0.9853704157290402,strogatz_glider1.csv,1956.73,8.97,0.16,303
0.028326999999999988,0.8316834991514166,0.970954856194021,0.98537041572904,strogatz_glider1.csv,7843.38,57.55,0.71,358
0.017009000000000052,0.8316834991514166,0.970954856194021,0.98537041572904,strogatz_glider1.csv,1321.57,48.31,0.27,415
0.018943000000000043,0.8316834991514166,0.970954856194021,0.98537041572904,strogatz_glider1.csv,1764.61,92.11,0.06,574
0.031146000000000007,0.8316834991514166,0.970954856194021,0.98537041572904,strogatz_glider1.csv,4362.05,92.84,0.82,591
0.03412199999999998,0.8316834991514166,0.970954856194021,0.98537041572904,strogatz_glider1.csv,111.6,54.33,0.63,85
0.020637000000000016,0.8316834991514166,0.970954856194021,0.98537041572904,strogatz_glider1.csv,4516.87,13.77,0.73,655
0.02063300000000001,0.8316834991514166,0.970954856194021,0.98537041572904,strogatz_glider1.csv,7536.28,16.73,0.41,600
0.02070099999999997,0.8316834991514166,0.970954856194021,0.98537041572904,strogatz_glider1.csv,3007.96,83.0,0.72,37
0.023343000000000003,0.8316834991514166,0.970954856194021,0.98537041572904,strogatz_glider1.csv,8462.34,16.04,0.7,541
0.01862900000000001,0.8316834991514166,0.970954856194021,0.98537041572904,strogatz_glider1.csv,2359.71,19.55,0.02,707
0.021556999999999937,0.8316834991514166,0.970954856194021,0.98537041572904,strogatz_glider1.csv,5958.27,62.27,0.09,995
0.01748099999999997,35.57795427569502,1268.5658346878374,35.61693185393483,strogatz_lv1.csv,7129.93,70.31,0.56,259
0.025801000000000074,35.57795427569502,1268.5658346878379,35.616931853934844,strogatz_lv1.csv,7835.71,58.48,0.32,997
0.022513999999999926,10.735003490302443,115.69889178719627,10.756341933352447,strogatz_lv1.csv,5310.51,11.08,0.63,798
0.026716000000000076,35.57795427569502,1268.5658346878379,35.616931853934844,strogatz_lv1.csv,9661.79,51.04,0.7,21
0.01687099999999997,35.57795427569502,1268.5658346878379,35.616931853934844,strogatz_lv1.csv,5181.09,63.15,0.69,713
0.018028999999999958,35.57795427569502,1268.5658346878374,35.61693185393483,strogatz_lv1.csv,5487.92,88.91,0.48,417
0.019333000000000045,35.57795427569502,1268.5658346878374,35.61693185393483,strogatz_lv1.csv,5069.42,72.71,0.68,38
0.023343000000000003,35.57795427569502,1268.5658346878374,35.61693185393483,strogatz_lv1.csv,232.15,75.81,0.96,240
0.018089000000000018,8.67278116075784,75.62141228257953,8.69605728376829,strogatz_lv1.csv,1956.73,8.97,0.16,303
0.019214999999999986,35.57795427569502,1268.5658346878379,35.616931853934844,strogatz_lv1.csv,7843.38,57.55,0.71,358
0.02722800000000003,32.53881229725514,1061.0029080795134,32.57303958919881,strogatz_lv1.csv,9038.01,32.16,0.93,39
0.02391699999999997,35.57795427569502,1268.5658346878374,35.61693185393483,strogatz_lv1.csv,4200.98,85.5,0.14,230
0.018536,35.57795427569502,1268.5658346878374,35.61693185393483,strogatz_lv1.csv,1764.61,92.11,0.06,574
0.019461999999999983,35.57795427569502,1268.5658346878374,35.61693185393483,strogatz_lv1.csv,4362.05,92.84,0.82,591
0.02338499999999999,35.57795427569502,1268.5658346878379,35.616931853934844,strogatz_lv1.csv,111.6,54.33,0.63,85
0.02485399999999993,35.57795427569502,1268.5658346878379,35.616931853934844,strogatz_lv1.csv,1321.57,48.31,0.27,415
0.016913999999999985,35.57795427569502,1268.5658346878374,35.61693185393483,strogatz_lv1.csv,3007.96,83.0,0.72,37
0.025264999999999985,13.608567865209716,185.75978811060997,13.629372256659876,strogatz_lv1.csv,4516.87,13.77,0.73,655
0.02716699999999994,16.357338766830626,268.1939596947385,16.376628459323932,strogatz_lv1.csv,7536.28,16.73,0.41,600
0.026978999999999972,15.652900790233462,245.60805190397141,15.67188731148777,strogatz_lv1.csv,8462.34,16.04,0.7,541
0.016103999999999896,19.283395027411288,372.66707891707694,19.304586991621367,strogatz_lv1.csv,2359.71,19.55,0.02,707
0.016043000000000033,35.57795427569502,1268.5658346878379,35.616931853934844,strogatz_lv1.csv,5958.27,62.27,0.09,995
0.017224000000000017,0.11462890924776158,0.014356929052992972,0.11982040332511393,strogatz_barmag2.csv,9661.79,51.04,0.7,21
0.018251000000000017,0.11462890924776442,0.014356929052993697,0.11982040332511695,strogatz_barmag2.csv,7129.93,70.31,0.56,259
0.024092,0.11462890924776158,0.014356929052992972,0.11982040332511393,strogatz_barmag2.csv,5310.51,11.08,0.63,798
0.02058899999999997,0.11462890924776158,0.014356929052992972,0.11982040332511393,strogatz_barmag2.csv,7835.71,58.48,0.32,997
0.01991000000000009,0.11462890924776442,0.014356929052993697,0.11982040332511695,strogatz_barmag2.csv,232.15,75.81,0.96,240
0.022255999999999942,0.11462890924776158,0.014356929052992972,0.11982040332511393,strogatz_barmag2.csv,5181.09,63.15,0.69,713
0.01832500000000004,0.11462890924776442,0.014356929052993697,0.11982040332511695,strogatz_barmag2.csv,5487.92,88.91,0.48,417
0.02249599999999996,0.11462890924776442,0.014356929052993697,0.11982040332511695,strogatz_barmag2.csv,5069.42,72.71,0.68,38
0.017121000000000053,0.11462890924776158,0.014356929052992972,0.11982040332511393,strogatz_barmag2.csv,1956.73,8.97,0.16,303
0.01761899999999994,0.11462890924776158,0.014356929052992972,0.11982040332511393,strogatz_barmag2.csv,7843.38,57.55,0.71,358
0.02002799999999993,0.11462890924776158,0.014356929052992972,0.11982040332511393,strogatz_barmag2.csv,9038.01,32.16,0.93,39
0.025209999999999955,0.11462890924776442,0.014356929052993697,0.11982040332511695,strogatz_barmag2.csv,4200.98,85.5,0.14,230
0.01889200000000002,0.11462890924776442,0.014356929052993697,0.11982040332511695,strogatz_barmag2.csv,1764.61,92.11,0.06,574
0.018117999999999967,0.11462890924776442,0.014356929052993697,0.11982040332511695,strogatz_barmag2.csv,4362.05,92.84,0.82,591
0.024853000000000014,0.11462890924776158,0.014356929052992972,0.11982040332511393,strogatz_barmag2.csv,111.6,54.33,0.63,85
0.02788400000000002,0.11462890924776158,0.014356929052992972,0.11982040332511393,strogatz_barmag2.csv,1321.57,48.31,0.27,415
0.017066000000000026,0.11462890924776442,0.014356929052993697,0.11982040332511695,strogatz_barmag2.csv,3007.96,83.0,0.72,37
0.016429000000000027,0.11462890924776158,0.014356929052992972,0.11982040332511393,strogatz_barmag2.csv,7536.28,16.73,0.41,600
0.03023900000000002,0.11462890924776158,0.014356929052992972,0.11982040332511393,strogatz_barmag2.csv,8462.34,16.04,0.7,541
0.027328999999999937,0.11462890924776158,0.014356929052992972,0.11982040332511393,strogatz_barmag2.csv,4516.87,13.77,0.73,655
0.02014099999999996,0.11462890924776158,0.014356929052992972,0.11982040332511393,strogatz_barmag2.csv,2359.71,19.55,0.02,707
0.01980899999999997,0.11462890924776158,0.014356929052992972,0.11982040332511393,strogatz_barmag2.csv,5958.27,62.27,0.09,995
0.02012399999999992,1.2469261925807666,1.8756354005368183,1.3695383895812554,strogatz_glider2.csv,5310.51,11.08,0.63,798
0.02098800000000001,1.2469261925807682,1.8756354005368223,1.3695383895812567,strogatz_glider2.csv,9661.79,51.04,0.7,21
0.027981000000000037,1.246926192580765,1.8756354005368143,1.3695383895812538,strogatz_glider2.csv,7129.93,70.31,0.56,259
0.029550000000000187,1.2469261925807682,1.8756354005368223,1.3695383895812567,strogatz_glider2.csv,7835.71,58.48,0.32,997
0.01875500000000008,1.2469261925807682,1.8756354005368223,1.3695383895812567,strogatz_glider2.csv,5181.09,63.15,0.69,713
0.01906799999999997,1.246926192580765,1.8756354005368143,1.3695383895812538,strogatz_glider2.csv,5487.92,88.91,0.48,417
0.019583000000000017,1.246926192580765,1.8756354005368143,1.3695383895812538,strogatz_glider2.csv,232.15,75.81,0.96,240
0.026924999999999977,1.246926192580765,1.8756354005368143,1.3695383895812538,strogatz_glider2.csv,5069.42,72.71,0.68,38
0.01834100000000005,1.246926192580765,1.8756354005368143,1.3695383895812538,strogatz_glider2.csv,4200.98,85.5,0.14,230
0.02115100000000003,1.2469261925807682,1.8756354005368223,1.3695383895812567,strogatz_glider2.csv,9038.01,32.16,0.93,39
0.02616799999999997,1.2469261925807666,1.8756354005368183,1.3695383895812554,strogatz_glider2.csv,1956.73,8.97,0.16,303
0.024648000000000003,1.2469261925807682,1.8756354005368223,1.3695383895812567,strogatz_glider2.csv,7843.38,57.55,0.71,358
0.017498000000000014,1.2469261925807682,1.8756354005368223,1.3695383895812567,strogatz_glider2.csv,1321.57,48.31,0.27,415
0.01867399999999997,1.246926192580765,1.8756354005368143,1.3695383895812538,strogatz_glider2.csv,1764.61,92.11,0.06,574
0.027018999999999904,1.246926192580765,1.8756354005368143,1.3695383895812538,strogatz_glider2.csv,4362.05,92.84,0.82,591
0.026846000000000148,1.2469261925807682,1.8756354005368223,1.3695383895812567,strogatz_glider2.csv,111.6,54.33,0.63,85
0.017210999999999976,1.246926192580766,1.8756354005368163,1.3695383895812543,strogatz_glider2.csv,4516.87,13.77,0.73,655
0.01902399999999993,1.246926192580765,1.8756354005368143,1.3695383895812538,strogatz_glider2.csv,3007.96,83.0,0.72,37
0.02572999999999992,1.246926192580766,1.8756354005368163,1.3695383895812543,strogatz_glider2.csv,8462.34,16.04,0.7,541
0.02617400000000003,1.246926192580766,1.8756354005368163,1.3695383895812543,strogatz_glider2.csv,7536.28,16.73,0.41,600
0.015943999999999958,1.2469261925807682,1.8756354005368223,1.3695383895812567,strogatz_glider2.csv,5958.27,62.27,0.09,995
0.019916999999999963,1.246926192580766,1.8756354005368163,1.3695383895812543,strogatz_glider2.csv,2359.71,19.55,0.02,707
0.01848699999999992,3.4258381610490005,15.286424739967792,3.9097857665053457,strogatz_vdp1.csv,9661.79,51.04,0.7,21
0.02184100000000011,3.4258381610490005,15.286424739967792,3.9097857665053457,strogatz_vdp1.csv,7129.93,70.31,0.56,259
0.02440500000000001,3.4258381610490023,15.286424739967801,3.9097857665053466,strogatz_vdp1.csv,5310.51,11.08,0.63,798
0.026142000000000002,3.4258381610490005,15.286424739967792,3.9097857665053457,strogatz_vdp1.csv,7835.71,58.48,0.32,997
0.017257000000000078,3.4258381610490005,15.286424739967792,3.9097857665053457,strogatz_vdp1.csv,5069.42,72.71,0.68,38
0.02227000000000001,3.4258381610490005,15.286424739967792,3.9097857665053457,strogatz_vdp1.csv,232.15,75.81,0.96,240
0.028224999999999945,3.4258381610490005,15.286424739967792,3.9097857665053457,strogatz_vdp1.csv,5487.92,88.91,0.48,417
0.03223100000000001,3.4258381610490005,15.286424739967792,3.9097857665053457,strogatz_vdp1.csv,5181.09,63.15,0.69,713
0.017641000000000132,3.4258381610490023,15.286424739967801,3.9097857665053466,strogatz_vdp1.csv,1956.73,8.97,0.16,303
0.01700299999999999,3.4258381610490005,15.286424739967792,3.9097857665053457,strogatz_vdp1.csv,4200.98,85.5,0.14,230
0.026657000000000042,3.4258381610490023,15.286424739967801,3.9097857665053466,strogatz_vdp1.csv,9038.01,32.16,0.93,39
0.025362,3.4258381610490005,15.286424739967792,3.9097857665053457,strogatz_vdp1.csv,7843.38,57.55,0.71,358
0.019285,3.4258381610490005,15.286424739967792,3.9097857665053457,strogatz_vdp1.csv,4362.05,92.84,0.82,591
0.021658000000000063,3.4258381610490005,15.286424739967792,3.9097857665053457,strogatz_vdp1.csv,1764.61,92.11,0.06,574
0.030064000000000087,3.4258381610490005,15.286424739967792,3.9097857665053457,strogatz_vdp1.csv,111.6,54.33,0.63,85
0.023103999999999902,3.4258381610490005,15.286424739967792,3.9097857665053457,strogatz_vdp1.csv,1321.57,48.31,0.27,415
0.019424,3.4258381610490023,15.286424739967801,3.9097857665053466,strogatz_vdp1.csv,4516.87,13.77,0.73,655
0.021255000000000024,3.4258381610490023,15.286424739967801,3.9097857665053466,strogatz_vdp1.csv,8462.34,16.04,0.7,541
0.02061099999999993,3.4258381610490005,15.286424739967792,3.9097857665053457,strogatz_vdp1.csv,3007.96,83.0,0.72,37
0.02818299999999996,3.4258381610490023,15.286424739967801,3.9097857665053466,strogatz_vdp1.csv,7536.28,16.73,0.41,600
0.015780999999999934,3.4258381610490023,15.286424739967801,3.9097857665053466,strogatz_vdp1.csv,2359.71,19.55,0.02,707
0.016027000000000013,3.4258381610490005,15.286424739967792,3.9097857665053457,strogatz_vdp1.csv,5958.27,62.27,0.09,995
0.018733999999999917,7.8494349892500725,61.87469626248062,7.86604705442833,strogatz_lv2.csv,5310.51,11.08,0.63,798
0.019282000000000018,7.849434989250074,61.87469626248065,7.866047054428332,strogatz_lv2.csv,9661.79,51.04,0.7,21
0.019954999999999945,7.849434989250074,61.87469626248065,7.866047054428332,strogatz_lv2.csv,7835.71,58.48,0.32,997
0.024942999999999937,7.849434989250074,61.87469626248065,7.866047054428332,strogatz_lv2.csv,7129.93,70.31,0.56,259
0.017245000000000066,7.849434989250074,61.87469626248065,7.866047054428332,strogatz_lv2.csv,5487.92,88.91,0.48,417
0.020038999999999918,7.849434989250074,61.87469626248065,7.866047054428332,strogatz_lv2.csv,5069.42,72.71,0.68,38
0.01911700000000005,7.849434989250074,61.87469626248065,7.866047054428332,strogatz_lv2.csv,5181.09,63.15,0.69,713
0.03668800000000005,7.849434989250074,61.87469626248065,7.866047054428332,strogatz_lv2.csv,232.15,75.81,0.96,240
0.016839999999999966,7.8494349892500725,61.87469626248062,7.86604705442833,strogatz_lv2.csv,1956.73,8.97,0.16,303
0.016535999999999995,7.849434989250074,61.87469626248065,7.866047054428332,strogatz_lv2.csv,4200.98,85.5,0.14,230
0.02384199999999992,7.849434989250074,61.87469626248065,7.866047054428332,strogatz_lv2.csv,7843.38,57.55,0.71,358
0.03189799999999998,7.8494349892500725,61.87469626248062,7.86604705442833,strogatz_lv2.csv,9038.01,32.16,0.93,39
0.01717000000000002,7.849434989250074,61.87469626248065,7.866047054428332,strogatz_lv2.csv,1764.61,92.11,0.06,574
0.022029999999999998,7.849434989250074,61.87469626248065,7.866047054428332,strogatz_lv2.csv,4362.05,92.84,0.82,591
0.026780999999999944,7.849434989250074,61.87469626248065,7.866047054428332,strogatz_lv2.csv,111.6,54.33,0.63,85
0.024010000000000087,7.849434989250074,61.87469626248065,7.866047054428332,strogatz_lv2.csv,1321.57,48.31,0.27,415
0.02482399999999996,7.849434989250074,61.87469626248065,7.866047054428332,strogatz_lv2.csv,3007.96,83.0,0.72,37
