Cpu,mae,mse,rmse,File,c,epison,cs,iterations
0.011251999999999929,0.5595391250353645,1.2886116743989744,1.1351703283644152,strogatz_vdp1.csv,12.78,4.76,949.19,18
0.011291000000000051,0.6156775677898211,1.798051556213961,1.3409144477609154,strogatz_vdp1.csv,6.78,5.74,160.85,10
0.011278999999999928,0.7080470199197729,3.13824306578426,1.7715086976315584,strogatz_vdp1.csv,12.58,16.38,299.66,73
0.011145999999999993,0.7080470199197729,3.13824306578426,1.7715086976315584,strogatz_vdp1.csv,5.66,11.56,692.71,72
0.01046999999999998,0.6402638285863239,2.3495547146897984,1.5328257287408111,strogatz_vdp1.csv,6.13,7.2,383.3,30
0.01026399999999994,0.7080470199197729,3.13824306578426,1.7715086976315584,strogatz_vdp1.csv,18.25,14.02,185.3,64
0.010326999999999977,0.7080470199197729,3.13824306578426,1.7715086976315584,strogatz_vdp1.csv,3.1,10.61,509.74,53
0.010517,0.7080470199197729,3.13824306578426,1.7715086976315584,strogatz_vdp1.csv,14.43,17.44,153.92,75
0.01030999999999993,1.0076460636922535,2.5193883596226523,1.5872581263369396,strogatz_vdp1.csv,1.24,5.87,139.8,94
0.010177000000000104,0.7080470199197729,3.13824306578426,1.7715086976315584,strogatz_vdp1.csv,19.7,12.19,176.34,14
0.00994000000000006,0.7080470199197729,3.13824306578426,1.7715086976315584,strogatz_vdp1.csv,1.9,11.3,272.77,95
0.010087000000000068,0.7080470199197729,3.13824306578426,1.7715086976315584,strogatz_vdp1.csv,8.72,14.98,556.3,23
0.010191999999999979,0.7080470199197729,3.13824306578426,1.7715086976315584,strogatz_vdp1.csv,4.48,13.27,923.94,98
0.010588000000000042,0.7080470199197729,3.13824306578426,1.7715086976315584,strogatz_vdp1.csv,2.94,14.16,587.68,64
0.010132999999999948,0.5947052967806141,1.2264402659485345,1.1074476357591516,strogatz_vdp1.csv,14.13,4.44,492.51,95
0.010234000000000076,0.7080470199197729,3.13824306578426,1.7715086976315584,strogatz_vdp1.csv,7.01,12.66,352.84,48
0.009248999999999952,0.7080470199197729,3.13824306578426,1.7715086976315584,strogatz_vdp1.csv,14.8,17.78,923.01,75
0.00897199999999998,0.6130184638696796,1.9721017440730384,1.4043154004969958,strogatz_vdp1.csv,9.86,6.44,115.17,67
0.009128999999999944,0.7204488333095049,2.25277924477376,1.5009261290195997,strogatz_vdp1.csv,3.61,6.44,774.09,33
0.009323999999999999,0.9082059809468104,1.1196674555988988,1.058143400300214,strogatz_vdp1.csv,16.4,1.77,294.48,54
0.008282999999999818,0.7080470199197729,3.13824306578426,1.7715086976315584,strogatz_vdp1.csv,15.96,13.82,719.58,5
0.00799799999999995,0.7080470199197729,3.13824306578426,1.7715086976315584,strogatz_vdp1.csv,15.2,18.42,409.36,8
0.010040000000000049,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,12.58,16.38,299.66,73
0.009999000000000093,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,5.66,11.56,692.71,72
